company,state,industry,type,location,off,dayopen,dayclose,holopen,holclose,TelNo,lapti,longit
카에이드,서초구,세차장,손세차,서초구 남부순환로 323길 30(서초동),연중무휴,9:00,18:00,9:00,18:00,02-872-6049,37.4822868,127.0138206
배트케이브 서초손세차,서초구,세차장,손세차,"  서초구 신반포로 317, B1층 (잠원동)",연중무휴,9:00,18:00,9:00,18:00,02-842-5635,37.5105345,127.0184463
모토탑,서초구,세차장,손세차,서초구 동광로 27(방배동),연중무휴,9:00,18:00,9:00,18:00,02-872-1072,37.491097,126.985788
코오롱글로벌㈜ 교대센터,서초구,정비업소,손세차,서초구 효령로53길 62(서초동),일요일,9:00,18:00,null,null,02-876-5189,37.4875295,127.0132677
㈜오토매니저,서초구,정비업소,손세차,서초구 바우뫼로 217 (양재동),연중무휴,9:00,18:00,9:00,18:00,02-844-3377,37.4813599,127.0420037
쌍용자동차 양재서비스프라자,서초구,정비업소,손세차,서초구 동산로13길 30-2 (양재동),연중무휴,9:00,18:00,9:00,18:00,02-846-202,37.4729452,127.0446333
한신세차장,서초구,세차장,손세차,서초구 방배중앙로 72 (방배동),연중무휴,9:00,18:00,9:00,18:00,02-844-8200,37.4861062,126.990302
스페이스카세차장,서초구,세차장,손세차,서초구 효령로49길 68 (서초동),연중무휴,9:00,18:00,9:00,18:00,02-821-5151,37.4868763,127.0093699
주식회사 오카,서초구,세차장,손세차,서초구 남부순환로296길 4-16 (방배동),연중무휴,9:00,18:00,9:00,18:00,02-848-5005,37.4736166,126.991235
태성상사세차장,서초구,세차장,손세차,서초구 효령로 416 (서초동),연중무휴,9:00,18:00,9:00,18:00,02-875-5151,37.488577,127.0293774
일호자동차,서초구,정비업소,손세차,서초구 사평대로 333-18,연중무휴,9:00,18:00,9:00,18:00,02-879-8484,37.5040006,127.0193047
㈜에프엠케이,서초구,정비업소,손세차,서초구 반포대로 235 (반포동),연중무휴,9:00,18:00,9:00,18:00,02-875-5189,37.5006686,127.002572
에코스디테일,서초구,세차장,손세차,"  서초구 서초중앙로8길 115,1층(서초동,우신빌딩)",연중무휴,9:00,18:00,9:00,18:00,02-840-5151,37.4872769,127.0219074
양재현대서비스㈜,서초구,정비업소,손세차,서초구 남부순환로342길 100-9,연중무휴,9:00,18:00,9:00,18:00,02-876-6391,37.4759087,127.0277999
㈜몬스터팩토리,서초구,세차장,손세차,서초구 효령로 47 (방배동),연중무휴,9:00,18:00,9:00,18:00,02-879-5189,37.479023,126.9894383
㈜홈런주유소,서초구,주유소,자동세차,서초구 양재대로2길 100-30(우면동),연중무휴,9:00,18:00,9:00,18:00,02-877-5477,37.4572806,127.016192
더클래스효성㈜ 서초동지점,서초구,정비업소,손세차,서초구 효령로55길 65(서초동),연중무휴,9:00,18:00,9:00,18:00,02-841-7711,37.487643,127.0136584
마이스터모터스㈜,서초구,정비업소,손세차,서초구 매헌로 19 (양재동),null,null,null,null,null,02-873-5189,37.4626882,127.0354581
㈜한독모터스 서초중앙서비스센터,서초구,정비업소,손세차,서초구 효령로55길 45-13 (서초동),연중무휴,9:00,18:00,9:00,18:00,02-871-0295,37.4866502,127.0135901
준모터스,서초구,세차장,손세차,서초구 바우뫼로37길 17 (양재동),연중무휴,9:00,18:00,9:00,18:00,02-871-7697,37.4795085,127.0393632
덴트닥터,서초구,세차장,손세차,서초구 반포대로12길 6 (서초동),연중무휴,9:00,18:00,9:00,18:00,02-877-2961,37.4845901,127.0117433
강남 모터폴리쉬,서초구,세차장,손세차,서초구 마방로 16 (양재동),연중무휴,9:00,18:00,9:00,18:00,02-879-002,37.4741765,127.0406695
위드모터스,서초구,세차장,손세차,서초구 명달로 36-1 (서초동),일요일,9:00,18:00,null,null,02-552-502,37.4807959,127.0056137
애니카랜드 서초중앙점,서초구,정비업소,손세차,서초구 바우뫼로41길 59 (양재동),연중무휴,9:00,18:00,9:00,18:00,02-552-2335,37.483064,127.0400569
디엠세븐디테일링,서초구,세차장,손세차,서초구 명달로 52-7 (서초동),연중무휴,9:00,18:00,9:00,18:00,02-553-6280,37.4823541,127.0052459
디앤에스팩토리(D&S Factory) 이수점,서초구,세차장,손세차,"  서초구 방배중앙로21길 54, 1층 (방배동,성원빌딩)",연중무휴,9:00,18:00,9:00,18:00,02-582-8999,37.4919836,126.9836008
내곡에스티엔(STN),서초구,주유소,자동세차,서초구 헌릉로 210 (내곡동),연중무휴,9:00,18:00,9:00,18:00,02-552-8681,37.4553143,127.0628187
현대오일뱅크㈜ 직영 양재현대주유소,서초구,주유소,자동세차,서초구 마방로 6 (양재동),연중무휴,9:00,18:00,9:00,18:00,02-552-4025,37.473563,127.0397074
오토테크,서초구,주유소,자동세차,서초구 효령로 356 (서초동),연중무휴,9:00,18:00,9:00,18:00,02-581-8131,37.486491,127.0230852
현대오일뱅크㈜ 직영방배현대주유소,서초구,주유소,자동세차,서초구 동작대로 182 (방배동),연중무휴,9:00,18:00,9:00,18:00,02-552-5227,37.4927683,126.9833262
카랜드,서초구,정비업소,손세차,서초구 서초대로 78 (방배동),연중무휴,9:00,18:00,9:00,18:00,02-581-6176,37.4866098,126.9908824
쌍용자동차 방배서비스프라자,서초구,정비업소,손세차,서초구 서초대로 72 (방배동),연중무휴,9:00,18:00,9:00,18:00,02-552-2231,37.4864042,126.9902947
내방자동차공업사,서초구,정비업소,손세차,서초구 서초대로 45 (방배동),연중무휴,9:00,18:00,9:00,18:00,02-581-0017,37.4862512,126.9874025
서초중부점 현대자동차,서초구,정비업소,손세차,서초구 효령로 348 (서초동),연중무휴,9:00,18:00,9:00,18:00,02-553-5151,37.4862825,127.0221891
서초서부점 현대자동차,서초구,정비업소,손세차,서초구 서운로 14 (서초동),"일요일, 공휴일",10:00,18:00,10:00,18:00,02-552-9250,37.4854035,127.0297919
양재동부점 현대자동차,서초구,정비업소,손세차,서초구 바우뫼로 187 (양재동),"일요일, 공휴일",10:00,18:00,10:00,18:00,02-581-8939,37.4793016,127.0401002
오토케어,서초구,정비업소,손세차,서초구 바우뫼로 202 (양재동),"일요일, 공휴일",10:00,18:00,10:00,18:00,02-641-7177,37.4799819,127.0416722
대국세차장,서초구,정비업소,손세차,서초구 사평대로 102 (반포동),"일요일, 공휴일",10:00,18:00,10:00,18:00,02-649-3200,37.4987712,126.9957928
