Title,View Count,Published At,Tags
初めて日本に来た韓国人若者の本音を聴いて驚いた‼︎ 일본여행,3929227,2020-01-21T05:57:34Z,"['韓国人', '韓国人ユーチューバー', '日本に来て驚いた', '日本イメージ', '韓国人男子', '韓国文化', '文化の違い', '韓国語勉強', '韓国人YouTuber', '韓国人の本音', '韓国人の反応', '初めて日本', '韓国男子']"
일장기걸고 한국여행한 일본사람에게 생긴일.일본 네티즌의 경악!실시간일본반응,1549100,2020-01-01T03:30:26Z,"['일본불매운동반응', '일본', '불매운동일본반응', '해외반응', '아베 해외반응', '한일무역전쟁', '일본방송 불매운동', '일본방송 한류', '일본 불매운동', '일본 불매운동 일본반응', '일본경제보복', '일본불매 해외반응', 'samsung', '日本', '韓国貿易', '日韓貿易', '韓国旅行', '韓国 不買運動', '韓国 高校生', '韓国 輸出規制', '韓国 日本', '韓国 ラップ', 'アベヤメロ', '韓国', 'japan', 'japan live', 'japan travel', '아베', 'korea travel', 'korea', 'korea japan', 'trump', 'trump korea', 'abe', 'moon jae in', '트럼프', '일본무역보복', '일본무역전쟁', '도쿄', '도쿄여행', 'かんこ', '일본불매운동', '일본수출규제', '일본여행', '일본불매', '일본반응', '화이트리스트', 'tokyo olympic', '일본 방사능', '페페티비', 'pepetv', '일본경제', '도쿄올림픽', '일본여행보이콧', '한미방위비', '방위비', '미국', '방위비일본반응', '방위비해외반응', '여행자보험', '보험', '여행대출', '일본차', '자동차대출', '중국반응', '반응', '시사', '경제', '중국', '해외']"
일본 수학 여행에서 있었던 소름끼치는 실화 (무서움주의),900303,2020-01-08T12:00:02Z,[]
"일본어 회화 | 원어민 발음으로 알려주는 여행 일본어회화 몰아보기 📺 ㅣ해커스일본어 오오기, 일본어인강, 일본어강의, 해커스인강",752586,2020-01-24T06:00:06Z,"['일본어', '일본원어민', '여행일본어', '해커스일본어', '오오기', '히라가나', '일본어회화', '여행일본어회화']"
"한국의 반일운동, 일본인들의 놀라운 반응",638639,2020-01-11T04:00:00Z,"['일본반응', '일본 불매운동', '일본여행', '일본 먹방', '일본 여행', '일본 반응', '일본 문화', '반일운동', '반일감정', '반일불매운동', '반일민족주의', '반일 유튜버', '반일팔이', '반일 불매운동', '반일 국뽕', '반일 운동', '반일 일본인', '반일 한국인', '해외여행 브이로그', '해외여행 추천', '해외여행지 추천', '해외여행 준비물', '해외여행 vlog', '해외여행 꿀팁', '해외여행 처음', '해외여행 유튜버', '해외여행지', '해외여행 매너', '한국 일본', '한국 문화', '해외반응']"
내가 잘 몰랐던 일제강점기 모습들...[일본인 한국여행],2111366,2020-02-05T10:58:42Z,"['유이', '유이뿅', '유이짱', '일본인', '아프리카tv', '아프리카', 'bj', '먹방', '일본인bj', '일본인BJ유이뿅', '일본인bj유이뿅', '일본인Bj유이', '일본인bj유이', 'bj유이', 'bj유이뿅', 'BJ유이뿅', 'BJ유이', '여캠', '리카', 'bj리카', '일본인bj리카', '호미', '뿅유이', '마란스', '호미짱', '리카짱', 'bj호미', '日本語字幕', '韓国', 'ゆいぴょん', 'ゆい']"
삿포로에서의 소소한 일상 브이로그❄️ : 일본의 겨울 왕국에서의 3박 4일 여행☃️,1722406,2020-02-14T13:24:26Z,"['한일커플', '일본인 남자친구', '국제커플', '국제연애', '日韓カップル', '国際カップル', '国際恋愛', '韓国人彼女', '커플브이로그', '커플유튜브', 'トモトモ', 'zzangtomo', 'Interracial Couple', 'korean girlfriend', 'japanese boyfriend', '韓国人女性', '먹방', 'mukbang', '일본 일상', '東京ブイログ', '東京日常', '삿포로', '홋카이도 브이로그', '삿포로 브이로그', '삿포로 눈꽃축제', 'sapporo vlog', 'hokkaido', 'tomotomo', '札幌', '札幌日常', '北海道旅行']"
"[200문장반복듣기]현지인일본어회화,일본어기초회화필수문장 자동암기",1323153,2020-02-17T08:04:13Z,"['일본어회화', '일본어문장', '기초일본어', '韓国語勉強', '韓国語会話', '韓国語講座', '일본어문장반복', '일본어자동암기', '일본어회화반복']"
日本旅行にきた韓国人女性３人を密着取材してみたら面白すぎたwww/ 한국인 관광객이 생각하는 일본여행,1111875,2020-02-03T09:45:01Z,"['日本旅行', '韓国人観光客', '韓国人', '韓国', '日本旅行 韓国人', '日本旅行 外国人', '日本旅行 外国人 動画', '観光客 韓国', '観光客 外国人', '韓国人 日本旅行', '韓国人観光客 日本の印象', '韓国人観光客 激減', '韓国人 日本 インタビュー', '韓国人女性', '韓国人女性 日本旅行', '韓国人女性 日本', '韓国人彼氏', '韓国 観光客', '日本 韓国', '韓国人youtuber', '일본 워홀', '일본 여행', '후쿠오카', '日本', '일본여행 한국인', '한국인 일본여행']"
일본이 한국의 이것만큼은 절대 따라잡을수 없는 이유!(외국인들 일본여행 안가고 대한민국 오는 3가지 이유) 놀라운현재상황#해외반응,485171,2020-02-07T08:51:48Z,"['일본여행', '한국 와이파이', '대한민국', '트래블튜브', '삼성전자', '일본반응', '해외반응', '쓸모왕', '최고수익률', '가치왕', '풀앤푸시', '닥터시사', '페페티비']"
태국갔다가 사기 당했는데.. 나를 살려준 한국인 [일본인 여행],1283442,2020-03-25T10:42:29Z,"['유이', '유이뿅', '유이짱', '일본인', '아프리카tv', '아프리카', 'bj', '먹방', '일본인bj', '일본인BJ유이뿅', '일본인bj유이뿅', '일본인Bj유이', '일본인bj유이', 'bj유이', 'bj유이뿅', 'BJ유이뿅', 'BJ유이', '여캠', '리카', 'bj리카', '일본인bj리카', '호미', '뿅유이', '마란스', '호미짱', '리카짱', 'bj호미', '日本語字幕', '韓国', 'ゆいぴょん', 'ゆい']"
6년전에 엔젤님과 일본여행 했던 썰 - 왁굳의 노가리,937636,2020-03-19T13:00:07Z,"['우왁굳', '우왕굳', '우왁굳의게임방송', '왁두', '종합게임', '리그오브레전드', '롤', '스팀게임', '쿠소게임', '인디게임', '비디오게임', '레이싱게임', '레이스게임', '오버워치', '배틀그라운드', '배그', 'vr', '마인크래프트', '마크', 'vrchat', 'vr챗', '노가리', '썰', '일본', '여행', '일본여행', '엔젤', '엔젤님']"
初めて日本家庭の串揚げを食べて感動しました‼︎ 韓国人の反応⁇ 일본여행,258099,2020-03-18T10:56:28Z,"['串揚げ', '家庭串揚げ', '我が家の串揚げ', '関西串揚げ', '韓国人ユーチューバー', '韓国語勉強', '下町家庭', '日本家庭', '쿠시아게', '일본가정', '일본문화', '韓国人反応', 'japan trip', 'tokyo trip', 'japanese food', 'mukbang', 'asian food', 'japan culture', 'kushiage', 'japan home party', 'モッパン', '먹방']"
