영문공항명,한글공항명,공항코드1(IATA),공항코드2(ICAO),지역,영문국가명,한글국가명,영문도시명,도시명
A Coruna Airport,아코루냐 공항,LCG,LECO,유럽,Spain,스페인,A Coruna,코루나
A. De Barros Airport,닥터 아드헤마르 데 바로 공항,PPB,SBDN,중남미,Brazil,브라질,Presidente Prudente,프루덴테 대통령
A. Neto Airport,A. 네토 공항,PNR,FCPP,아프리카,Democratic Republic of Congo,콩고 민주공화국,Pointe Noire,포인트 노이어
Aalborg Airport,올보르 공항,AAL,EKYT,유럽,Denmark,덴마크,Aalborg,올보르그
Aaro Airport,아로 공항,MOL,ENML,유럽,Norway,노르웨이,Molde,몰데
Abadan Airport,아바단 공항,ABD,OIAA,중동,Iran,이란,Abadan,아바단
Abakan Airport,아바칸 공항,ABA,UNAA,유럽,Russia,러시아,Abakan,아바칸
Abbotsford International Airport,애보트포드 국제공항,YXX,CYXX,북미,Canada,캐나다,AbbotsfordBC,애버츠퍼드BC
Abel Santamaria Airport,아벨 산타마리아 공항,SNU,MUSC,중남미,Cuba,쿠바,Santa Clara ,산타클라라
Abha Regional Airport,아바 지역공항,AHB,OEAB,중동,Saudi Arabia,사우디아라비아,Abha,아바
Abilene Municipal Airport,애빌린 시공항,ABI,KABI,북미,United States,미국,AbileneTX,애빌린TX
Abraham Lincoln Capital Airport,에이브람 링컨 캐피톨 공항,SPI,KSPI,북미,United States,미국,Springfield IL,스프링필드 IL
Abruzzo International Airport ,우브르조 국제공항 ,PSR,LIBP,유럽,Italy,이탈리아,Pescara,페스카라
Abu Dhabi International Airport,아부다비 국제공항,AUH,OMAA,중동,United Arab Emirates,UAE,Abu Dhabi,아부다비
Abu Musa Airport,아부 무사 공항,AEU,OIBA,중동,Iran,이란,AbuMousa,아부 무사
Abu Simbel Airport,아부심벨 공항,ABS,HEBL,아프리카,Egypt,이집트,AbuSimbel,아부 심벨
Abuja International Airport,아부자 국제공항,ABV,DNAA,아프리카,Nigeria,나이지리아,Abuja,아부자
Acandi Airport,아칸디 공항,ACD,SKAD,중남미,Colombia,콜롬비아,Acandi,칸디
Achmad Yani Airport,아츠마드 야니 공항,SRG,WARS,아시아,Indonesia,인도네시아,Semarang,세마랑
Adampur Airport,아담푸르 공항,AIP,VIAX,아시아,India,인도,Adampur,담푸르
Adana Airport,아다나 공항,ADA,LTAF,유럽,Turkey,터키,Adana,아다나
Adelaide International Airport,애들레이드 국제공항,ADL,YPAD,대양주,Australia,오스트레일리아,Adelaide,애들레이드
Adisumarmo International Airport,아디 수마르모 국제공항,SOC,WARQ,아시아,Indonesia,인도네시아,Surakarta,수라카르타
Adisutjipto Airport,아디숫집토 공항,JOG,WARJ,아시아,Indonesia,인도네시아,Yogyakarta,족자카르타
Adiyaman Airport,아디야만 공항,ADF,LTCP,유럽,Turkey,터키,Adiyaman,아디야만
Adler Sochi International Airport,아들라 소치 국제공항,AER,URSS,유럽,Russia,러시아,Sochi,소치
Adnan Menderes Airport,아드난 멘데레스 공항,ADB,LTBJ,유럽,Turkey,터키,Izmir,이즈미르
